TMX,TMY,Tectonic Bedrock Age (MA),Interpreted Bedrock Age (MA),TMI,RTP,1VD,DGIR,AuSREM,Prox_Ultramafic Source,Prox_MajorCrustal,Prox_Fault,worms_mag_1km,worms_mag_4.6km,worms_mag_11km,worms_mag_50km,worms_grav_1km,worms_grav_4.6km,worms_grav_11km,worms_grav_50km,K_pct,Th_ppm,U_ppm,Ni_mine
13465000,-3180000,3010,3010,-126.7373657,-62.60726929,0.051026378,-116.6000671,215.453,3072.881168,15494.05818,16247.11549,42.80201,35.37424,41.21728,29.193897,44.171813,47.905935,56.511377,49.475235,0.88959,10.493828,1.434284,0
13465000,-3185000,3010,3010,-147.9157257,-44.84364319,0.008635236,-139.2915955,215.709,4724.225616,14657.69731,15499.68703,44.128347,26.468735,40.760172,29.755987,29.725742,44.041429,53.622154,50.221233,0.880186,9.666433,1.115054,0
13465000,-3190000,3010,3010,-144.0873566,-56.98395538,0.046589162,-159.4508972,215.964,3946.15531,13850.05405,14931.69244,34.40879,44.461755,40.143323,30.203433,28.445329,43.670068,53.017433,50.781802,0.929215,6.666702,0.82899,0
13465000,-3195000,2960,2960,-218.1918335,-138.4745331,-0.142910734,-133.2858124,216.303,1872.65619,12621.70654,14323.30583,41.556334,44.714961,39.348414,30.545296,30.526165,46.471322,53.716642,51.190893,0.752975,7.365598,0.882822,0
13465000,-3200000,3010,3010,-205.8886108,-204.056488,-0.109889895,-98.30724335,216.678,537.2236487,11426.57039,13583.94652,48.196073,46.487442,38.696596,30.772925,28.34929,43.999672,54.556326,51.484731,0.687171,9.304583,0.912301,0
13465000,-3205000,3010,3010,-243.5059967,-116.346199,-0.137350395,-55.75115204,217.07,1536.182169,10514.89034,12992.05962,56.070516,48.042134,38.724948,30.849145,34.672358,42.81519,56.769405,51.695573,0.654556,9.913585,0.883659,0
13465000,-3210000,3010,3010,-265.3947449,-193.7481689,-0.105529383,-61.79203796,217.531,3290.697583,9836.666359,12238.89503,55.269725,48.666497,39.014755,30.682117,36.677554,45.747198,58.510671,51.848966,0.59399,8.823618,0.649214,0
13465000,-3215000,3010,3010,-230.9279175,-210.6083069,0.094166145,-50.38221741,217.991,2286.68931,9196.934489,11413.61873,37.177395,48.933331,39.1221,30.045356,32.68035,48.711188,57.402526,51.963279,0.591646,9.703063,1.295757,0
13465000,-3220000,3010,3010,-228.5576019,-207.1604004,-0.052349448,7.917755127,218.483,1501.294355,8616.192259,10134.15464,44.408437,48.955756,38.957271,28.346057,29.089447,43.873572,55.767865,52.050431,0.499721,9.993661,0.855334,0
13465000,-3225000,3010,3010,-268.473877,-250.2881317,-0.176951289,34.39337158,218.989,420.3176595,7852.154266,8297.74018,49.413635,48.924504,38.460418,24.428364,27.872136,42.616904,55.272923,52.117044,0.612403,9.953775,1.082262,0
13465000,-3230000,2960,2960,-241.7124786,-251.7908478,-0.213846266,45.77157211,219.491,319.8475975,6876.363599,6429.228301,46.102567,49.170377,37.656187,25.721497,29.697637,43.871669,55.566892,52.165542,0.614677,11.672675,1.032735,0
